Ecosys;metric;t1t2;;;;;t3t4;;;;;wilcox
;;μ;∑;x;σX;%;μ;∑;x;σX;%;
aWilcox;Dup.;0.025;79;0;0.2;22.9;0.025;266;0;0.2;77.1;✕ (0.82)
aWilcox;Tim.;100.726;323934;6;275.1;39.2;47.789;502886;3;173.9;60.8;✓ (< 0.05)
aWilcox;Com.;4.621;14862;3;4.7;16.5;7.166;75413;4;9.1;83.5;✓ (< 0.05)
aWilcox;Reo.;0.066;211;0;0.3;23.9;0.064;671;0;0.3;76.1;✕ (0.74)
aWilcox;Fil.;2.307;7418;1;12.8;14.2;4.266;44886;2;11.9;85.8;✓ (< 0.05)
aWilcox;Sev.;3.452;11102;4;1.2;21.8;3.779;39766;4;1;78.2;✓ (< 0.05)
aWilcox;Cha.;2.428;7810;1;12.8;7.3;9.366;98556;3;44.2;92.7;✓ (< 0.05)
aWilcox;Hun.;220.422;708876;4;8491.9;4;1627.542;17126621;15;48799.9;96;✓ (< 0.05)
aWilcox;Chur.;5516.056;17739637;15;249654.4;8.1;19224.593;202300389;72;269046.2;91.9;✓ (< 0.05)
nWilcox;Dup.;0.082;83;0;0.4;3.1;0.1;2579;0;0.6;96.9;✕ (0.92)
nWilcox;Tim.;97.281;98837;11;243.2;3.2;115.237;2965961;12;304.8;96.8;✕ (0.76)
nWilcox;Com.;4.627;4701;3;4;3.1;5.626;144801;4;6.1;96.9;✓ (< 0.05)
nWilcox;Reo.;0.06;61;0;0.3;2.8;0.083;2138;0;0.4;97.2;✕ (0.08)
nWilcox;Fil.;3.405;3459;1;23.9;2.2;6.098;156951;2;21.1;97.8;✓ (< 0.05)
nWilcox;Sev.;4.326;4395;3;1.5;4.1;3.995;102825;3;1.4;95.9;✓ (< 0.05)
nWilcox;Cha.;1.083;1100;1;0.4;2.6;1.609;41411;1;1.1;97.4;✓ (< 0.05)
nWilcox;Hun.;8.534;8671;3;31.9;1.2;28.795;741137;8;82.7;98.8;✓ (< 0.05)
nWilcox;Chur.;11.508;11692;3;63.1;1;43.949;1131147;8;149.5;99;✓ (< 0.05)
allWilcox;Dup.;0.038;162;0;0.2;5.4;0.078;2845;0;0.5;94.6;✓ (< 0.05)
allWilcox;Tim.;99.899;422771;7;267.8;10.9;95.663;3468847;8;275;89.1;✓ (< 0.05)
allWilcox;Com.;4.623;19563;3;4.6;8.2;6.073;220214;4;7.1;91.8;✓ (< 0.05)
allWilcox;Reo.;0.064;272;0;0.3;8.8;0.077;2809;0;0.3;91.2;✕ (0.21)
allWilcox;Fil.;2.57;10877;1;16.2;5.1;5.566;201837;2;18.9;94.9;✓ (< 0.05)
allWilcox;Sev.;3.662;15497;4;1.4;9.8;3.932;142591;3;1.3;90.2;✓ (< 0.05)
allWilcox;Cha.;2.105;8910;1;11.2;6;3.86;139967;2;24.1;94;✓ (< 0.05)
allWilcox;Hun.;169.553;717547;4;7403;3.9;492.754;17867758;9;26297.9;96.1;✓ (< 0.05)
allWilcox;Chur.;4194.548;17751329;10;217637.4;8;5610.202;203431536;13;145192.5;92;✓ (< 0.05)
;;μ;∑;x;σX;%;μ;∑;x;σX;%;
